,No_Pesanan,Status_Pesanan,Status_Pembatalan_Atau_Pengembalian,No_Resi,Opsi_Pengiriman,Antar_Counter_Atau_Pick-Up,Batas_Waktu_Pengiriman,Waktu_Pengiriman_Diatur,Waktu_Pesanan_Dibuat,Waktu_Pembayaran_Dilakukan,SKU_Induk,Nama_Produk,Nomor_Referensi_SKU,Nama_Variasi,Harga_Awal,Harga_Setelah_Diskon,Jumlah,Total_Harga_Produk,Total_Diskon,Diskon_Dari_Penjual,Diskon_Dari_Shopee,Berat_Produk,Jumlah_Produk_Di_Pesan,Total_Berat,Voucher_Ditanggung_Penjual,Cashback_Koin,Voucher_Ditanggung_Shopee,Paket_Diskon,Paket_Diskon_Shopee,Paket_Diskon_Penjual,Potongan_Koin_Shopee,Diskon_Kartu_Kredit,Ongkos_Kirim_Dibayar_Oleh_Pembeli,Total_Pembayaran,Perkiraan_Ongkos_Kirim,Catatan_Dari_Pembeli,Catatan,City,User_Id,Category,Full Name
0,2103017PUH1WMN,Selesai,Pengembalian,JP1737075560,J&T Express,Pickup,2021-03-03 09:31:00,2021-03-01 17:36:00,2021-03-01 09:31:00,2021-03-01 09:31:00,embhigh,"miniletics Sports Bra Embrace Bra High Neck, with A/B cup",EMBHigh_MauvePink_M,"Mauve Pink,M",174500.0,174500.0,1,174500.0,0.0,0.0,0.0,300,1,300,0.0,0.0,0.0,N,0.0,0.0,0,0.0,0.0,174500.0,10000.0,Tidak ada,Tidak ada,Tangerang Selatan,51,sports bra,Embrace Bra High Neck Support with A/B Cup
1,210302AX6RYQ4M,Selesai,Pengembalian,002504001154,SiCepat REG,Pickup,2021-03-04 16:20:00,2021-03-03 14:40:00,2021-03-02 16:20:00,2021-03-02 16:20:00,slfull,miniletics Legging Olahraga Wanita Swift Legging,SLfull_DarkBlue_L,"Dark Blue,L",249500.0,249500.0,1,249500.0,0.0,0.0,0.0,300,1,300,0.0,0.0,0.0,N,0.0,0.0,6437,0.0,7000.0,253280.0,7000.0,Tidak ada,Tidak ada,Bogor,49,legging,Swift Legging Full
2,210306K5X0XM90,Selesai,Pengembalian,IN-2-0IUPCRH3H1SSIS5R8P15,GrabExpress Instant,Pickup,2021-03-08 23:30:00,2021-03-06 09:41:00,2021-03-05 23:00:00,2021-03-05 23:01:00,molfull,miniletics Legging Olahraga Wanita Motion Legging Full,MOLFull_Blue_L,"Blue,L",244500.0,244500.0,1,244500.0,0.0,0.0,0.0,300,4,1200,0.0,0.0,0.0,N,0.0,0.0,0,0.0,6000.0,769500.0,6000.0,Tidak ada,Tidak ada,Surabaya,106,legging,Motion Legging Full
3,210306K5X0XM90,Selesai,Pengembalian,IN-2-0IUPCRH3H1SSIS5R8P15,GrabExpress Instant,Pickup,2021-03-08 23:30:00,2021-03-06 09:41:00,2021-03-05 23:00:00,2021-03-05 23:01:00,emb,miniletics Sports Bra Wanita Embrace Bra (support with A/B bra cup),EMB_LightPurple_L,"Light Purple,L",174500.0,174500.0,2,349000.0,0.0,0.0,0.0,600,4,1200,0.0,0.0,0.0,N,0.0,0.0,0,0.0,6000.0,769500.0,6000.0,Tidak ada,Tidak ada,Surabaya,106,sports bra,"Embrace Bra, Support with A/B bra cup"
4,210306K5X0XM90,Selesai,Pengembalian,IN-2-0IUPCRH3H1SSIS5R8P15,GrabExpress Instant,Pickup,2021-03-08 23:30:00,2021-03-06 09:41:00,2021-03-05 23:00:00,2021-03-05 23:01:00,alb,"miniletics Sports Bra Alleviate Bra, with A/B bra cup",ALB_Periwinkle_L,"Periwinkle,L",169500.0,169500.0,1,169500.0,0.0,0.0,0.0,300,4,1200,0.0,0.0,0.0,N,0.0,0.0,0,0.0,6000.0,769500.0,6000.0,Tidak ada,Tidak ada,Surabaya,106,sports bra,"Alleviate Bra, Support with A/B bra cup"
5,210306MFNMPJKQ,Selesai,Pengembalian,002505057241,SiCepat REG,Pickup,2021-03-09 11:30:00,2021-03-06 12:43:00,2021-03-06 11:27:00,2021-03-06 11:30:00,molfull,miniletics Legging Olahraga Wanita Motion Legging Full,MOLFull_PastelLilac_M,"Paste Lilac,M",244500.0,244500.0,1,244500.0,0.0,0.0,0.0,300,1,300,0.0,0.0,0.0,N,0.0,0.0,0,0.0,3000.0,248000.0,3000.0,Tidak ada,Tidak ada,Surabaya,106,legging,Motion Legging Full
6,210305HWU8R27U,Selesai,Pengembalian,002504859435,SiCepat REG,Pickup,2021-03-09 11:03:00,2021-03-05 14:39:00,2021-03-05 11:02:00,2021-03-05 11:03:00,alb,"miniletics Sports Bra Alleviate Bra, with A/B bra cup",ALB_Periwinkle_M,"Periwinkle,M",169500.0,169500.0,1,169500.0,0.0,0.0,0.0,300,1,300,0.0,0.0,0.0,N,0.0,0.0,4717,0.0,7000.0,174140.0,7000.0,Tidak ada,Tidak ada,Jakarta Selatan,42,sports bra,"Alleviate Bra, Support with A/B bra cup"
7,210307QS3G5QKN,Selesai,Pengembalian,JP0660562433,J&T Express,Pickup,2021-03-09 18:53:00,2021-03-08 16:23:00,2021-03-07 18:53:00,2021-03-07 18:53:00,fft,miniletics Tank Top Olahraga Wanita Feel Free Basic Crop Tank,FFT_Clay_M,"Clay,M",134000.0,134000.0,1,134000.0,0.0,0.0,0.0,300,3,900,0.0,0.0,0.0,N,0.0,0.0,33953,0.0,0.0,420522.0,23000.0,Tidak ada,Tidak ada,Denpasar,77,tank top,Feel Free Basic Crop Tank
8,210307QS3G5QKN,Selesai,Pengembalian,JP0660562433,J&T Express,Pickup,2021-03-09 18:53:00,2021-03-08 16:23:00,2021-03-07 18:53:00,2021-03-07 18:53:00,fft,miniletics Tank Top Olahraga Wanita Feel Free Basic Crop Tank,FFT_Black_M,"Black,M",134000.0,134000.0,1,134000.0,0.0,0.0,0.0,300,3,900,0.0,0.0,0.0,N,0.0,0.0,33953,0.0,0.0,420522.0,23000.0,Tidak ada,Tidak ada,Denpasar,77,tank top,Feel Free Basic Crop Tank
9,210307QS3G5QKN,Selesai,Pengembalian,JP0660562433,J&T Express,Pickup,2021-03-09 18:53:00,2021-03-08 16:23:00,2021-03-07 18:53:00,2021-03-07 18:53:00,ffb,"miniletics Sports Bra Feel Free Bra, with A/B cup",FFB_LightPurple_M,"Light Purple,M",169500.0,169500.0,1,169500.0,0.0,0.0,0.0,300,3,900,0.0,0.0,0.0,N,0.0,0.0,33953,0.0,0.0,420522.0,23000.0,Tidak ada,Tidak ada,Denpasar,77,sports bra,Feel Free Bra Support with A/B bra cup
