Product Title,URL,Brand,Seller Name,Marketplace,Seller Type,Location,Sales Quantity,Sales Revenue,,,
Bening's Diamond Serum / Serum Super Whitening,https://shopee.co.id/Bening-s-Diamond-Serum-Serum-Super-Whitening-i.190390143.4524100696,Bening'S,Bening's Official Shop,Shopee,Official Store,KOTA JAMBI,20805,"Rp8,301,920,000",20805,Rp8301920000,8301920000
Bening's Skin Regeneration Serum | Serum Scar / Bopeng,https://shopee.co.id/Bening-s-Skin-Regeneration-Serum-Serum-Scar-Bopeng-i.190390143.6472484436,Bening'S,Bening's Official Shop,Shopee,Official Store,KOTA JAMBI,"20,307","Rp1,482,120,000",20307,Rp1482120000,1482120000
Scarlett Whitening Mini Size Glowtening Serum,https://shopee.co.id/Scarlett-Whitening-Mini-Size-Glowtening-Serum-i.255365082.11816839383,Scarlett,Scarlett Whitening Official Shop,Shopee,Official Store,KOTA JAKARTA BARAT,"20,231","Rp5,054,025,000",20231,Rp5054025000,5054025000
Scarlett Whitening Paket 5 Item Brightly Series,https://shopee.co.id/Scarlett-Whitening-Paket-5-Item-Brightly-Series-i.255365082.9580744896,Scarlett,Scarlett Whitening Official Shop,Shopee,Official Store,KOTA JAKARTA BARAT,"16,623","Rp1,215,165,000",16623,Rp1215165000,1215165000
Scarlett Whitening Brightly Your Skin Special Package,https://shopee.co.id/Scarlett-Whitening-Brightly-Your-Skin-Special-Package-i.255365082.10629973842,Scarlett,Scarlett Whitening Official Shop,Shopee,Official Store,KOTA JAKARTA BARAT,"14,342","Rp1,276,438,000",14342,Rp1276438000,1276438000
Scarlett Whitening Acne Care Special Package,https://shopee.co.id/Scarlett-Whitening-Acne-Care-Special-Package-i.255365082.8990097049,Scarlett,Scarlett Whitening Official Shop,Shopee,Official Store,KOTA JAKARTA BARAT,"13,173","Rp960,015,000",13173,Rp960015000,960015000
Scarlett Whitening Brightly Care Package,https://shopee.co.id/Scarlett-Whitening-Brightly-Care-Package-i.255365082.8945925545,Scarlett,Scarlett Whitening Official Shop,Shopee,Official Store,KOTA JAKARTA BARAT,"13,079","Rp457,765,000",13079,Rp457765000,457765000
Scarlett Whitening Acne Care Package,https://shopee.co.id/Scarlett-Whitening-Acne-Care-Package-i.255365082.9945926268,Scarlett,Scarlett Whitening Official Shop,Shopee,Official Store,KOTA JAKARTA BARAT,"12,651","Rp988,288,042",12651,Rp988288042,988288042
"TRUEVE NIACINAMIDE 10% & CERAMIDE Brightening Serum 30 ML , Serum Wajah",https://shopee.co.id/TRUEVE-NIACINAMIDE-10-CERAMIDE-Brightening-Serum-30-ML-Serum-Wajah-i.310417610.5969149049,Trueve,Trueve Official Shop ,Shopee,Official Store,KAB. TANGERANG,"11,035","Rp173,186,100",11035,Rp173186100,173186100
Scarlett Whitening Paket 5 Item Acne Series,https://shopee.co.id/Scarlett-Whitening-Paket-5-Item-Acne-Series-i.255365082.10019992582,Scarlett,Scarlett Whitening Official Shop,Shopee,Official Store,KOTA JAKARTA BARAT,"10,745","Rp1,539,604,500",10745,Rp1539604500,1539604500
Scarlett Whitening Acne Serum,https://shopee.co.id/Scarlett-Whitening-Acne-Serum-i.255365082.7640346064,Scarlett,Scarlett Whitening Official Shop,Shopee,Official Store,KOTA JAKARTA BARAT,"10,226","Rp1,181,103,000",10226,Rp1181103000,1181103000
