No. Pesanan,Status Pesanan,Status Pembatalan/ Pengembalian,No. Resi,Opsi Pengiriman,Antar ke counter/ pick-up,Pesanan Harus Dikirimkan Sebelum (Menghindari keterlambatan),Waktu Pengiriman Diatur,Waktu Pesanan Dibuat,Waktu Pembayaran Dilakukan,SKU Induk,Nama Produk,Nomor Referensi SKU,Nama Variasi,Harga Awal,Harga Setelah Diskon,Jumlah,Total Harga Produk,Total Diskon,Diskon Dari Penjual,Diskon Dari Shopee,Berat Produk,Jumlah Produk di Pesan,Total Berat,Voucher Ditanggung Penjual,Cashback Koin,Voucher Ditanggung Shopee,Paket Diskon,Paket Diskon (Diskon dari Shopee),Paket Diskon (Diskon dari Penjual),Potongan Koin Shopee,Diskon Kartu Kredit,Ongkos Kirim Dibayar oleh Pembeli,Total Pembayaran,Perkiraan Ongkos Kirim,Catatan dari Pembeli,Catatan,city,user_id
2104058FJ8QS3F,Selesai,,002517234415,"Reguler
SiCepat REG",Pickup,2021-04-08 10:13,2021-04-05 15:29,2021-04-05 10:13,2021-04-05 10:13,,miniletics Sprint Jacket Jaket Olahraga Wanita,SPRJacket_ArtichokeGreen_M,"Artichoke Green,M",Rp 274500.0,Rp 274500.0,1,Rp 274500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,1,300 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 0.0,Rp 274500.0,Rp 7500.0,,,Jakarta Selatan,259
2104020SJUJJ1V,Selesai,,002515685013,"Reguler
SiCepat REG",Pickup,2021-04-06 08:51,2021-04-03 13:43,2021-04-02 08:51,2021-04-02 08:51,,"miniletics  Swift Legging 23"" Legging Olahraga Wanita",SLfull_DarkBlue_M,"Dark Blue,M",Rp 249500.0,Rp 243544.0,1,Rp 243544.0,Rp 5954.0,Rp 5954.0,Rp 0.0,300 gr,2,600 gr,Rp 7500.0,Rp 0.0,Rp 0.0,Y,Rp 0.0,Rp 10000.0,836,Rp 0.0,Rp 0.0,Rp 401082.0,Rp 17000.0,,,Palembang,198
2104020SJUJJ1V,Selesai,,002515685013,"Reguler
SiCepat REG",Pickup,2021-04-06 08:51,2021-04-03 13:43,2021-04-02 08:51,2021-04-02 08:51,,"miniletics Alleviate Bra, with A/B bra cup Sports Bra",ALB_Periwinkle_M,"Periwinkle,M",Rp 169500.0,Rp 165454.0,1,Rp 165454.0,Rp 4044.0,Rp 4044.0,Rp 0.0,300 gr,2,600 gr,Rp 7500.0,Rp 0.0,Rp 0.0,Y,Rp 0.0,Rp 10000.0,836,Rp 0.0,Rp 0.0,Rp 401082.0,Rp 17000.0,,,Palembang,198
210406BVK7FH0R,Selesai,,IN-2-0IUPCRH3H1JP2YC6BXZ3,"Instant
GrabExpress Instant",Pickup,2021-04-08 18:44,2021-04-07 14:09,2021-04-06 18:44,2021-04-06 18:44,,"miniletics  Motion Train Tight 23"" Celana Olahraga Wanita",MOLTrain_Crimson_L,"Crimson,L",Rp 279500.0,Rp 274166.0,1,Rp 274166.0,Rp 5334.0,Rp 5334.0,Rp 0.0,300 gr,2,600 gr,Rp 0.0,Rp 0.0,Rp 0.0,Y,Rp 0.0,Rp 10000.0,0,Rp 0.0,Rp 11000.0,Rp 530250.0,Rp 11000.0,,,Surabaya,209
210406BVK7FH0R,Selesai,,IN-2-0IUPCRH3H1JP2YC6BXZ3,"Instant
GrabExpress Instant",Pickup,2021-04-08 18:44,2021-04-07 14:09,2021-04-06 18:44,2021-04-06 18:44,,"miniletics Motion Legging Full 24"" Legging Olahraga Wanita",MOLFull_Purple_L,"Purple,L",Rp 244500.0,Rp 239834.0,1,Rp 239834.0,Rp 4666.0,Rp 4666.0,Rp 0.0,300 gr,2,600 gr,Rp 0.0,Rp 0.0,Rp 0.0,Y,Rp 0.0,Rp 10000.0,0,Rp 0.0,Rp 11000.0,Rp 530250.0,Rp 11000.0,,,Surabaya,209
2104058V0QH7RC,Selesai,,002517628336,"Reguler
SiCepat REG",Pickup,2021-04-08 14:19,2021-04-05 15:44,2021-04-05 13:56,2021-04-05 14:19,,"miniletics Feel Free Basic Crop Tank, Light Support with A/B cup Tank Top Olahraga Wanita",FFT_DarkBlue_S,"Dark Blue,S",Rp 134000.0,Rp 113900.0,1,Rp 113900.0,Rp 20100.0,Rp 20100.0,Rp 0.0,300 gr,3,900 gr,Rp 7500.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,31123,Rp 0.0,Rp 5000.0,Rp 362738.0,Rp 15000.0,,,Jakarta Barat,101
2104058V0QH7RC,Selesai,,002517628336,"Reguler
SiCepat REG",Pickup,2021-04-08 14:19,2021-04-05 15:44,2021-04-05 13:56,2021-04-05 14:19,,miniletics Tie It Strong Tank Baju Olahraga Wanita Tank Top,TST_White_S,"White,S",Rp 144000.0,Rp 122400.0,1,Rp 122400.0,Rp 21600.0,Rp 21600.0,Rp 0.0,300 gr,3,900 gr,Rp 7500.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,31123,Rp 0.0,Rp 5000.0,Rp 362738.0,Rp 15000.0,,,Jakarta Barat,101
2104058V0QH7RC,Selesai,,002517628336,"Reguler
SiCepat REG",Pickup,2021-04-08 14:19,2021-04-05 15:44,2021-04-05 13:56,2021-04-05 14:19,,miniletics Tie It Strong Tank Baju Olahraga Wanita Tank Top,TST_Black_S,"Black,S",Rp 144000.0,Rp 144000.0,1,Rp 144000.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,3,900 gr,Rp 7500.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,31123,Rp 0.0,Rp 5000.0,Rp 362738.0,Rp 15000.0,,,Jakarta Barat,101
2104058VHR13B8,Selesai,,JP0731135638,"Reguler
J&T Express",Pickup,2021-04-08 14:07,2021-04-05 19:26,2021-04-05 14:05,2021-04-05 14:07,,"miniletics  Swift Legging 23"" Legging Olahraga Wanita",SLfull_Black_S,"Black,S",Rp 249500.0,Rp 243544.0,1,Rp 243544.0,Rp 5954.0,Rp 5954.0,Rp 0.0,300 gr,2,600 gr,Rp 7500.0,Rp 0.0,Rp 0.0,Y,Rp 0.0,Rp 10000.0,15000,Rp 0.0,Rp 0.0,Rp 394500.0,Rp 3500.0,,,Surabaya,60
2104058VHR13B8,Selesai,,JP0731135638,"Reguler
J&T Express",Pickup,2021-04-08 14:07,2021-04-05 19:26,2021-04-05 14:05,2021-04-05 14:07,,"miniletics Feel Free Bra, with A/B cup Sports Bra",FFB_Black_S,"Black,S",Rp 169500.0,Rp 165454.0,1,Rp 165454.0,Rp 4044.0,Rp 4044.0,Rp 0.0,300 gr,2,600 gr,Rp 7500.0,Rp 0.0,Rp 0.0,Y,Rp 0.0,Rp 10000.0,15000,Rp 0.0,Rp 0.0,Rp 394500.0,Rp 3500.0,,,Surabaya,60
