No. Pesanan,Status Pesanan,Status Pembatalan/ Pengembalian,No. Resi,Opsi Pengiriman,Antar ke counter/ pick-up,Pesanan Harus Dikirimkan Sebelum (Menghindari keterlambatan),Waktu Pengiriman Diatur,Waktu Pesanan Dibuat,Waktu Pembayaran Dilakukan,SKU Induk,Nama Produk,Nomor Referensi SKU,Nama Variasi,Harga Awal,Harga Setelah Diskon,Jumlah,Total Harga Produk,Total Diskon,Diskon Dari Penjual,Diskon Dari Shopee,Berat Produk,Jumlah Produk di Pesan,Total Berat,Voucher Ditanggung Penjual,Cashback Koin,Voucher Ditanggung Shopee,Paket Diskon,Paket Diskon (Diskon dari Shopee),Paket Diskon (Diskon dari Penjual),Potongan Koin Shopee,Diskon Kartu Kredit,Ongkos Kirim Dibayar oleh Pembeli,Total Pembayaran,Perkiraan Ongkos Kirim,Catatan dari Pembeli,Catatan,city,user_id
2103017PUH1WMN,Selesai,,JP1737075560,J&T Express,Pickup,2021-03-03 09:31,2021-03-01 17:36,2021-03-01 09:31,2021-03-01 09:31,,"miniletics Sports Bra Embrace Bra High Neck, with A/B cup",EMBHigh_MauvePink_M,"Mauve Pink,M",Rp 174500.0,Rp 174500.0,1,Rp 174500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,1,300 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 0.0,Rp 174500.0,Rp 10000.0,,,Tangerang Selatan,51
210302AX6RYQ4M,Selesai,,002504001154,SiCepat REG,Pickup,2021-03-04 16:20,2021-03-03 14:40,2021-03-02 16:20,2021-03-02 16:20,,miniletics Legging Olahraga Wanita Swift Legging,SLfull_DarkBlue_L,"Dark Blue,L",Rp 249500.0,Rp 249500.0,1,Rp 249500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,1,300 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,6437,Rp 0.0,Rp 7000.0,Rp 253280.0,Rp 7000.0,,,Bogor,49
210306K5X0XM90,Selesai,,IN-2-0IUPCRH3H1SSIS5R8P15,GrabExpress Instant,Pickup,2021-03-08 23:30,2021-03-06 09:41,2021-03-05 23:00,2021-03-05 23:01,,miniletics Legging Olahraga Wanita Motion Legging Full,MOLFull_Blue_L,"Blue,L",Rp 244500.0,Rp 244500.0,1,Rp 244500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,4,1200 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 6000.0,Rp 769500.0,Rp 6000.0,,,Surabaya,106
210306K5X0XM90,Selesai,,IN-2-0IUPCRH3H1SSIS5R8P15,GrabExpress Instant,Pickup,2021-03-08 23:30,2021-03-06 09:41,2021-03-05 23:00,2021-03-05 23:01,,miniletics Sports Bra Wanita Embrace Bra (support with A/B bra cup),EMB_LightPurple_L,"Light Purple,L",Rp 174500.0,Rp 174500.0,2,Rp 349000.0,Rp 0.0,Rp 0.0,Rp 0.0,600 gr,4,1200 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 6000.0,Rp 769500.0,Rp 6000.0,,,Surabaya,106
210306K5X0XM90,Selesai,,IN-2-0IUPCRH3H1SSIS5R8P15,GrabExpress Instant,Pickup,2021-03-08 23:30,2021-03-06 09:41,2021-03-05 23:00,2021-03-05 23:01,,"miniletics Sports Bra Alleviate Bra, with A/B bra cup",ALB_Periwinkle_L,"Periwinkle,L",Rp 169500.0,Rp 169500.0,1,Rp 169500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,4,1200 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 6000.0,Rp 769500.0,Rp 6000.0,,,Surabaya,106
210306MFNMPJKQ,Selesai,,002505057241,SiCepat REG,Pickup,2021-03-09 11:30,2021-03-06 12:43,2021-03-06 11:27,2021-03-06 11:30,,miniletics Legging Olahraga Wanita Motion Legging Full,MOLFull_PastelLilac_M,"Paste Lilac,M",Rp 244500.0,Rp 244500.0,1,Rp 244500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,1,300 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 3000.0,Rp 248000.0,Rp 3000.0,,,Surabaya,106
210305HWU8R27U,Selesai,,002504859435,SiCepat REG,Pickup,2021-03-09 11:03,2021-03-05 14:39,2021-03-05 11:02,2021-03-05 11:03,,"miniletics Sports Bra Alleviate Bra, with A/B bra cup",ALB_Periwinkle_M,"Periwinkle,M",Rp 169500.0,Rp 169500.0,1,Rp 169500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,1,300 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,4717,Rp 0.0,Rp 7000.0,Rp 174140.0,Rp 7000.0,,,Jakarta Selatan,42
210307QS3G5QKN,Selesai,,JP0660562433,J&T Express,Pickup,2021-03-09 18:53,2021-03-08 16:23,2021-03-07 18:53,2021-03-07 18:53,,miniletics Tank Top Olahraga Wanita Feel Free Basic Crop Tank,FFT_Clay_M,"Clay,M",Rp 134000.0,Rp 134000.0,1,Rp 134000.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,3,900 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,33953,Rp 0.0,Rp 0.0,Rp 420522.0,Rp 23000.0,,,Denpasar,77
210307QS3G5QKN,Selesai,,JP0660562433,J&T Express,Pickup,2021-03-09 18:53,2021-03-08 16:23,2021-03-07 18:53,2021-03-07 18:53,,miniletics Tank Top Olahraga Wanita Feel Free Basic Crop Tank,FFT_Black_M,"Black,M",Rp 134000.0,Rp 134000.0,1,Rp 134000.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,3,900 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,33953,Rp 0.0,Rp 0.0,Rp 420522.0,Rp 23000.0,,,Denpasar,77
210307QS3G5QKN,Selesai,,JP0660562433,J&T Express,Pickup,2021-03-09 18:53,2021-03-08 16:23,2021-03-07 18:53,2021-03-07 18:53,,"miniletics Sports Bra Feel Free Bra, with A/B cup",FFB_LightPurple_M,"Light Purple,M",Rp 169500.0,Rp 169500.0,1,Rp 169500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,3,900 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,33953,Rp 0.0,Rp 0.0,Rp 420522.0,Rp 23000.0,,,Denpasar,77
