Count,Order ID,Invoice,Payment Date,Order Status,Product ID,Product Name,Quantity,Stock Keeping Unit (SKU),Notes,Price (Rp.),Discount Amount (Rp.),Subsidi Amount (Rp.),Courier,Shipping Price + fee (Rp.),Insurance (Rp.),Total Shipping Fee (Rp.),Total Amount (Rp.),AWB,Jenis Layanan,Bebas Ongkir,Warehouse Origin,Campaign Name,city,user_id
1,751186399,INV/20210401/MPL/1141730338,01-04-2021 06:50:07,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1695943373,"miniletics Motion Legging Full 24"" Legging Olahraga Wanita - Green,L",1,MOLFull_Green_L,,244500,0,0,JNE(OKE),6000,0,6000,250500,TJE1665382175763,-,,Shop Location,,Jakarta selatan,36
2,751480895,INV/20210401/MPL/1142472811,01-04-2021 12:33:00,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1046893982,"miniletics ClariTy Tank Tank Top Olahraga Wanita - Light Purple,S",1,CT_LightPurple_S,,139000,0,0,AnterAja(Reguler),7500,0,7500,146500,10001058599410,-,Yes,Shop Location,,Metro,172
3,752534781,INV/20210402/MPL/1145111245,02-04-2021 18:31:07,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1717038925,"miniletics Breezy Crop Tank Tank Top Wanita - Lavender Fog, S",1,BRCrop_LavenderFog_S,,149500,0,0,AnterAja(Reguler),7500,0,7500,331500,10001064268555,-,Yes,Shop Location,,Jakarta timur,157
,752534781,INV/20210402/MPL/1145111245,02-04-2021 18:31:07,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1626360282,"miniletics Embrace Bra High Neck, with A/B Cup Sports Bra - Periwinkle,L",1,EMBHigh_Periwinkle_L,,174500,0,0,AnterAja(Reguler),7500,0,7500,331500,10001064268555,-,Yes,Shop Location,,Jakarta timur,157
4,752586730,INV/20210402/MPL/1145239232,02-04-2021 19:53:59,Transaksi ditolak.,1561263089,"miniletics Confit Jacket Jaket Olahraga Wanita - Eggplant Purple,XL",1,CJ_EggplantPurple_XL,,349000,0,0,JNE(OKE),12000,0,12000,710000,,-,,Shop Location,,,5000
,752586730,INV/20210402/MPL/1145239232,02-04-2021 19:53:59,Transaksi ditolak.,1561263094,"miniletics Confit Jacket Jaket Olahraga Wanita - Grey Sage,XL",1,CJ_GreySage_XL,,349000,0,0,JNE(OKE),12000,0,12000,710000,,-,,Shop Location,,,5000
5,752932014,INV/20210403/MPL/1146124468,03-04-2021 10:01:34,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1046893986,"miniletics ClariTy Tank Tank Top Olahraga Wanita - Light Blue,S",1,CT_LightBlue_S,,139000,0,0,AnterAja(Reguler),7500,0,7500,146500,10001064275818,-,Yes,Shop Location,,Jakarta pusat,165
6,753202150,INV/20210403/MPL/1146807128,03-04-2021 14:42:52,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1696083113,"miniletics Tank Top Olahraga Wanita Motion Racerback Tank - Midnight Blue, L",1,MRBTank_MidnightBlue_L,,174500,0,0,SiCepat(Regular Package),3000,0,3000,341500,000490855923,-,Yes,Shop Location,,Surabaya,201
,753202150,INV/20210403/MPL/1146807128,03-04-2021 14:42:52,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1237777731,"miniletics Sprint Tank Tank Top Olahraga Wanita - Soft Pink,M",1,SPRTank_SoftPink_M,,164000,0,0,SiCepat(Regular Package),3000,0,3000,341500,000490855923,-,Yes,Shop Location,,Surabaya,201
7,753291882,INV/20210403/MPL/1147030678,03-04-2021 16:46:39,"Transaksi selesai..
Dana akan diteruskan ke penjual.",980041224,"miniletics ClariTy Tank Tank Top Olahraga Wanita - White,L",1,CT_White_L,,139000,0,0,AnterAja(Reguler),7500,0,7500,146500,10001073207576,-,Yes,Shop Location,,Jakarta barat,116
8,753433226,INV/20210403/MPL/1147376493,03-04-2021 20:53:08,"Transaksi selesai..
Dana akan diteruskan ke penjual.",986577447,"miniletics Feel Free Basic Crop Tank Tank Top Olahraga Wanita - Black,L",1,FFT_Black_L,Size L,134000,0,0,AnterAja(Reguler),7500,0,7500,311000,10001073207561,-,Yes,Shop Location,,Jakarta barat,116
,753433226,INV/20210403/MPL/1147376493,03-04-2021 20:53:08,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1338102459,"miniletics All Day Tank Tank Top Olahraga Wanita - Pink Lace, M",1,ADTank_PinkLace_M,Size M,169500,0,0,AnterAja(Reguler),7500,0,7500,311000,10001073207561,-,Yes,Shop Location,,Jakarta barat,116
9,753507213,INV/20210403/MPL/1147561767,03-04-2021 23:16:56,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1043821300,"miniletics Tie It Strong Tank Tank Top Wanita - Black,M",1,TST_Black_M,,144000,0,0,AnterAja(Reguler),7500,0,7500,290500,10001073203781,-,Yes,Shop Location,,Jakarta utara,40
,753507213,INV/20210403/MPL/1147561767,03-04-2021 23:16:56,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1046893987,"miniletics ClariTy Tank Tank Top Olahraga Wanita - Light Blue,M",1,CT_LightBlue_M,,139000,0,0,AnterAja(Reguler),7500,0,7500,290500,10001073203781,-,Yes,Shop Location,,Jakarta utara,40
10,753882713,INV/20210404/MPL/1148506934,04-04-2021 15:01:13,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1696292983,"miniletics Celana Olahraga Wanita Motion Super High-Rise Shorts 10"" - Crimson, L",1,MSHRShorts_Crimson_L,,184500,0,0,AnterAja(Reguler),22500,0,22500,1039500,10001073207112,-,,Shop Location,,Jakarta selatan,180
,753882713,INV/20210404/MPL/1148506934,04-04-2021 15:01:13,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1561055941,miniletics Sprint Jacket Jaket Olahraga Wanita - Artichoke Green - L,1,SPRJacket_ArtichokeGreen_L,,274500,0,0,AnterAja(Reguler),22500,0,22500,1039500,10001073207112,-,,Shop Location,,Jakarta selatan,180
,753882713,INV/20210404/MPL/1148506934,04-04-2021 15:01:13,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1338455401,"miniletics Ready Anywhere Crop 22"" Celana Wanita - Grey Sage,L",1,RACrop_GreySage_L,,249500,0,0,AnterAja(Reguler),22500,0,22500,1039500,10001073207112,-,,Shop Location,,Jakarta selatan,180
,753882713,INV/20210404/MPL/1148506934,04-04-2021 15:01:13,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1043985772,"miniletics Embrace Bra, with A/B Cup Sports Bra - Black,L",1,EMB_Black_L,,174500,0,0,AnterAja(Reguler),22500,0,22500,1039500,10001073207112,-,,Shop Location,,Jakarta selatan,180
,753882713,INV/20210404/MPL/1148506934,04-04-2021 15:01:13,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1403131934,"miniletics Feel Free Basic Crop Tank Tank Top Olahraga Wanita - Cold Purple,L",1,FFT_ColdPurple_L,,134000,0,0,AnterAja(Reguler),22500,0,22500,1039500,10001073207112,-,,Shop Location,,Jakarta selatan,180
11,754124348,INV/20210404/MPL/1149104925,04-04-2021 21:11:43,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1238060293,"miniletics Power High Neck Bra, with A/B Cup Sports Bra - Black, M",1,PWRHigh_Black_M,,174500,0,0,SiCepat(Regular Package),3000,0,3000,352000,000490855921,-,Yes,Shop Location,,Surabaya,152
,754124348,INV/20210404/MPL/1149104925,04-04-2021 21:11:43,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1338041080,"miniletics Soothe Loose (Cropped Long Sleeve) Baju Olahraga Wanita - Dark Grey,M",1,SLoose_DarkGrey_M,,174500,0,0,SiCepat(Regular Package),3000,0,3000,352000,000490855921,-,Yes,Shop Location,,Surabaya,152
12,754463255,INV/20210405/MPL/1149964081,05-04-2021 10:17:49,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1696083112,"miniletics Tank Top Olahraga Wanita Motion Racerback Tank - Midnight Blue, M",1,MRBTank_MidnightBlue_M,,174500,0,0,AnterAja(Reguler),7500,0,7500,182000,10001073201453,-,Yes,Shop Location,,Jakarta selatan,48
13,754657213,INV/20210405/MPL/1150449079,05-04-2021 13:03:47,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1717038926,"miniletics Breezy Crop Tank Tank Top Wanita - Lavender Fog, M",1,BRCrop_LavenderFog_M,Ukuran M,149500,0,0,AnterAja(Reguler),7500,0,7500,157000,10001075189852,-,Yes,Shop Location,,Jakarta pusat,165
14,755529568,INV/20210406/MPL/1152524435,06-04-2021 08:35:04,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1238060293,"miniletics Power High Neck Bra, with A/B Cup Sports Bra - Black, M",1,PWRHigh_Black_M,,174500,0,0,AnterAja(Reguler),7500,0,7500,326000,10001078664653,-,Yes,Shop Location,,Jakarta timur,157
,755529568,INV/20210406/MPL/1152524435,06-04-2021 08:35:04,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1046900478,"miniletics Tie It Strong Tank Tank Top Wanita - Soft Pink,S",1,TST_SoftPink_S,,144000,0,0,AnterAja(Reguler),7500,0,7500,326000,10001078664653,-,Yes,Shop Location,,Jakarta timur,157
