PROVINSI,KABUPATEN_KOTA,KECAMATAN,STATUS,KODE_PUM,DESA_KELURAHAN,TANGGAL,KATEGORI,LAKI-LAKI,PEREMPUAN,JUMLAH,RASIO
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052003,PLANDIREJO,16/12/2020,PENDUDUK USIA 18 - 56 TAHUN,1.077,1.119,2.196,"1,04"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052003,PLANDIREJO,06/11/2014,PENDUDUK USIA 18 - 56 TAHUN YANG BELUM ATAU TIDAK BEKERJA,135,165,300,"1,22"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052003,PLANDIREJO,16/12/2020,PENDUDUK MASIH SEKOLAH 7 - 18 TAHUN,432,430,862,"1,00"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052003,PLANDIREJO,06/11/2014,PENDUDUK USIA 18 - 56 TAHUN YANG BEKERJA,981,798,1.779,"0,81"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052003,PLANDIREJO,16/12/2020,PENDUDUK USIA 0 - 6 TAHUN,126,117,243,"0,93"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052003,PLANDIREJO,16/12/2020,PENDUDUK USIA 56 TAHUN KE ATAS,413,425,838,"1,03"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052002,TUMPAKOYOT,19/10/2013,PENDUDUK USIA 18 - 56 TAHUN,580,572,1.152,"0,99"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052002,TUMPAKOYOT,11/01/2019,PENDUDUK USIA 18 - 56 TAHUN YANG BELUM ATAU TIDAK BEKERJA,70,65,135,"0,93"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052002,TUMPAKOYOT,11/01/2019,PENDUDUK MASIH SEKOLAH 7 - 18 TAHUN,86,73,159,"0,85"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052002,TUMPAKOYOT,19/10/2013,PENDUDUK USIA 18 - 56 TAHUN YANG BEKERJA,580,572,1.152,"0,99"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052002,TUMPAKOYOT,11/01/2019,PENDUDUK USIA 0 - 6 TAHUN,89,95,184,"1,07"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052002,TUMPAKOYOT,11/01/2019,PENDUDUK USIA 56 TAHUN KE ATAS,29,46,75,"1,59"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052007,BULULAWANG,16/09/2020,PENDUDUK USIA 18 - 56 TAHUN,350,326,676,"0,93"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052007,BULULAWANG,17/09/2020,PENDUDUK USIA 18 - 56 TAHUN YANG BELUM ATAU TIDAK BEKERJA,113,160,273,"1,42"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052007,BULULAWANG,11/11/2019,PENDUDUK MASIH SEKOLAH 7 - 18 TAHUN,116,96,212,"0,83"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052007,BULULAWANG,17/09/2020,PENDUDUK USIA 18 - 56 TAHUN YANG BEKERJA,208,190,398,"0,91"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052007,BULULAWANG,17/09/2020,PENDUDUK USIA 0 - 6 TAHUN,42,48,90,"1,14"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052007,BULULAWANG,17/09/2020,PENDUDUK USIA 56 TAHUN KE ATAS,113,109,222,"0,96"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052009,SIDOMULYO,26/03/2020,PENDUDUK USIA 18 - 56 TAHUN YANG BEKERJA,612,687,1.299,"1,12"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052009,SIDOMULYO,26/03/2020,PENDUDUK USIA 0 - 6 TAHUN,140,119,259,"0,85"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052009,SIDOMULYO,26/03/2020,PENDUDUK USIA 56 TAHUN KE ATAS,869,924,1.793,"1,06"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052009,SIDOMULYO,26/03/2020,PENDUDUK USIA 18 - 56 TAHUN YANG BELUM ATAU TIDAK BEKERJA,84,42,126,"0,50"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052009,SIDOMULYO,26/03/2020,PENDUDUK MASIH SEKOLAH 7 - 18 TAHUN,275,240,515,"0,87"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052011,TUMPAKKEPUH,30/10/2017,PENDUDUK USIA 18 - 56 TAHUN YANG BEKERJA,1.129,970,2.099,"0,86"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052011,TUMPAKKEPUH,30/10/2017,PENDUDUK USIA 0 - 6 TAHUN,155,163,318,"1,05"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052011,TUMPAKKEPUH,30/10/2017,PENDUDUK USIA 56 TAHUN KE ATAS,355,359,714,"1,01"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052011,TUMPAKKEPUH,30/10/2017,PENDUDUK USIA 18 - 56 TAHUN,1.216,1.092,2.308,"0,90"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052011,TUMPAKKEPUH,30/10/2017,PENDUDUK USIA 18 - 56 TAHUN YANG BELUM ATAU TIDAK BEKERJA,87,122,209,"1,40"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052011,TUMPAKKEPUH,30/10/2017,PENDUDUK MASIH SEKOLAH 7 - 18 TAHUN,379,398,777,"1,05"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052008,KEDUNGBANTENG,04/11/2020,PENDUDUK USIA 18 - 56 TAHUN YANG BEKERJA,975,974,1.949,"1,00"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052008,KEDUNGBANTENG,04/11/2020,PENDUDUK USIA 0 - 6 TAHUN,132,115,247,"0,87"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052008,KEDUNGBANTENG,04/11/2020,PENDUDUK USIA 56 TAHUN KE ATAS,377,405,782,"1,07"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052008,KEDUNGBANTENG,04/11/2020,PENDUDUK USIA 18 - 56 TAHUN,1.067,1.052,2.119,"0,99"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052008,KEDUNGBANTENG,04/11/2020,PENDUDUK USIA 18 - 56 TAHUN YANG BELUM ATAU TIDAK BEKERJA,92,78,170,"0,85"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052008,KEDUNGBANTENG,04/11/2020,PENDUDUK MASIH SEKOLAH 7 - 18 TAHUN,287,299,586,"1,04"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052008,KEDUNGBANTENG,23/09/2019,ANGKATAN KERJA,1.135,1.114,2.249,"0,98"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052001,PULEREJO,17/09/2020,PENDUDUK USIA 18 - 56 TAHUN,965,966,1.931,"1,00"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052001,PULEREJO,17/09/2020,PENDUDUK USIA 18 - 56 TAHUN YANG BELUM ATAU TIDAK BEKERJA,52,248,300,"4,77"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052001,PULEREJO,17/09/2020,PENDUDUK MASIH SEKOLAH 7 - 18 TAHUN,228,244,472,"1,07"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052001,PULEREJO,17/09/2020,PENDUDUK USIA 18 - 56 TAHUN YANG BEKERJA,872,718,1.59,"0,82"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052001,PULEREJO,17/09/2020,PENDUDUK USIA 0 - 6 TAHUN,120,110,230,"0,92"
JAWA TIMUR,KABUPATEN BLITAR,BAKUNG,DESA,3505052001,PULEREJO,17/09/2020,PENDUDUK USIA 56 TAHUN KE ATAS,409,417,826,"1,02"
JAWA TIMUR,KABUPATEN BLITAR,WONOTIRTO,DESA,3505082003,TAMBAKREJO,18/10/2013,PENDUDUK USIA 18 - 56 TAHUN,1.451,1.497,2.948,"1,03"
JAWA TIMUR,KABUPATEN BLITAR,WONOTIRTO,DESA,3505082003,TAMBAKREJO,18/10/2013,PENDUDUK USIA 18 - 56 TAHUN YANG BELUM ATAU TIDAK BEKERJA,48,55,103,"1,15"
JAWA TIMUR,KABUPATEN BLITAR,WONOTIRTO,DESA,3505082003,TAMBAKREJO,18/10/2013,PENDUDUK MASIH SEKOLAH 7 - 18 TAHUN,575,613,1.188,"1,07"
JAWA TIMUR,KABUPATEN BLITAR,WONOTIRTO,DESA,3505082003,TAMBAKREJO,18/10/2013,PENDUDUK USIA 18 - 56 TAHUN YANG BEKERJA,1.403,1.442,2.845,"1,03"
JAWA TIMUR,KABUPATEN BLITAR,WONOTIRTO,DESA,3505082003,TAMBAKREJO,18/10/2013,PENDUDUK USIA 0 - 6 TAHUN,419,424,843,"1,01"
JAWA TIMUR,KABUPATEN BLITAR,WONOTIRTO,DESA,3505082002,KALIGRENJENG,08/03/2019,PENDUDUK USIA 18 - 56 TAHUN,759,972,1.731,"1,28"
JAWA TIMUR,KABUPATEN BLITAR,WONOTIRTO,DESA,3505082001,PASIRAMAN,16/07/2020,PENDUDUK USIA 18 - 56 TAHUN,1.079,1.093,2.172,"1,01"
JAWA TIMUR,KABUPATEN BLITAR,WONOTIRTO,DESA,3505082001,PASIRAMAN,18/12/2020,PENDUDUK USIA 18 - 56 TAHUN YANG BELUM ATAU TIDAK BEKERJA,8,256,264,"32,00"
JAWA TIMUR,KABUPATEN BLITAR,WONOTIRTO,DESA,3505082001,PASIRAMAN,16/07/2020,PENDUDUK MASIH SEKOLAH 7 - 18 TAHUN,286,316,602,"1,10"
JAWA TIMUR,KABUPATEN BLITAR,WONOTIRTO,DESA,3505082001,PASIRAMAN,11/05/2018,PENDUDUK USIA 18 - 56 TAHUN YANG BEKERJA,1.066,1.079,2.145,"1,01"
JAWA TIMUR,KABUPATEN BLITAR,WONOTIRTO,DESA,3505082001,PASIRAMAN,16/07/2020,PENDUDUK USIA 0 - 6 TAHUN,85,90,175,"1,06"
JAWA TIMUR,KABUPATEN BLITAR,WONOTIRTO,DESA,3505082001,PASIRAMAN,16/07/2020,PENDUDUK USIA 56 TAHUN KE ATAS,357,342,699,"0,96"
JAWA TIMUR,KABUPATEN BLITAR,WONOTIRTO,DESA,3505082004,SUMBERBOTO,09/06/2020,PENDUDUK USIA 18 - 56 TAHUN,1.184,1.178,2.362,"0,99"
JAWA TIMUR,KABUPATEN BLITAR,WONOTIRTO,DESA,3505082004,SUMBERBOTO,09/06/2020,PENDUDUK USIA 18 - 56 TAHUN YANG BELUM ATAU TIDAK BEKERJA,64,56,120,"0,88"
JAWA TIMUR,KABUPATEN BLITAR,WONOTIRTO,DESA,3505082004,SUMBERBOTO,09/06/2020,PENDUDUK MASIH SEKOLAH 7 - 18 TAHUN,50,57,107,"1,14"
JAWA TIMUR,KABUPATEN BLITAR,WONOTIRTO,DESA,3505082004,SUMBERBOTO,09/06/2020,PENDUDUK USIA 18 - 56 TAHUN YANG BEKERJA,1.122,1.071,2.193,"0,95"
JAWA TIMUR,KABUPATEN BLITAR,WONOTIRTO,DESA,3505082004,SUMBERBOTO,09/06/2020,PENDUDUK USIA 0 - 6 TAHUN,141,114,255,"0,81"
JAWA TIMUR,KABUPATEN BLITAR,WONOTIRTO,DESA,3505082004,SUMBERBOTO,09/06/2020,PENDUDUK USIA 56 TAHUN KE ATAS,489,437,926,"0,89"
JAWA TIMUR,KABUPATEN BLITAR,WONOTIRTO,DESA,3505082005,GUNUNGGEDE,24/01/2020,PENDUDUK USIA 18 - 56 TAHUN,1.173,1.151,2.324,"0,98"
JAWA TIMUR,KABUPATEN BLITAR,WONOTIRTO,DESA,3505082005,GUNUNGGEDE,24/01/2020,PENDUDUK USIA 18 - 56 TAHUN YANG BELUM ATAU TIDAK BEKERJA,261,203,464,"0,78"
JAWA TIMUR,KABUPATEN BLITAR,WONOTIRTO,DESA,3505082005,GUNUNGGEDE,29/10/2019,PENDUDUK MASIH SEKOLAH 7 - 18 TAHUN,308,283,591,"0,92"
JAWA TIMUR,KABUPATEN BLITAR,WONOTIRTO,DESA,3505082005,GUNUNGGEDE,29/10/2019,ANGKATAN KERJA,948,953,1.901,"1,01"
JAWA TIMUR,KABUPATEN BLITAR,WONOTIRTO,DESA,3505082005,GUNUNGGEDE,24/01/2020,PENDUDUK USIA 18 - 56 TAHUN YANG BEKERJA,912,948,1.86,"1,04"
JAWA TIMUR,KABUPATEN BLITAR,WONOTIRTO,DESA,3505082005,GUNUNGGEDE,24/01/2020,PENDUDUK USIA 0 - 6 TAHUN,130,123,253,"0,95"
JAWA TIMUR,KABUPATEN BLITAR,WONOTIRTO,DESA,3505082005,GUNUNGGEDE,27/01/2020,PENDUDUK USIA 56 TAHUN KE ATAS,423,456,879,"1,08"
JAWA TIMUR,KABUPATEN BLITAR,WONOTIRTO,DESA,3505082008,NGADIPURO,20/11/2019,ANGKATAN KERJA,1.239,1.137,2.376,"0,92"
JAWA TIMUR,KABUPATEN BLITAR,WONOTIRTO,DESA,3505082007,NGENI,19/11/2020,ANGKATAN KERJA,3.143,3.127,6.27,"0,99"
JAWA TIMUR,KABUPATEN BLITAR,WONOTIRTO,DESA,3505082006,WONOTIRTO,06/12/2018,PENDUDUK USIA 0 - 6 TAHUN,381,334,715,"0,88"
JAWA TIMUR,KABUPATEN BLITAR,WONOTIRTO,DESA,3505082006,WONOTIRTO,06/12/2018,PENDUDUK USIA 56 TAHUN KE ATAS,310,318,628,"1,03"
JAWA TIMUR,KABUPATEN BLITAR,WONOTIRTO,DESA,3505082006,WONOTIRTO,06/12/2018,PENDUDUK USIA 18 - 56 TAHUN YANG BEKERJA,2.487,888,3.375,"0,36"
JAWA TIMUR,KABUPATEN BLITAR,WONOTIRTO,DESA,3505082006,WONOTIRTO,06/12/2018,PENDUDUK MASIH SEKOLAH 7 - 18 TAHUN,521,576,1.097,"1,11"
JAWA TIMUR,KABUPATEN BLITAR,WONOTIRTO,DESA,3505082006,WONOTIRTO,06/12/2018,ANGKATAN KERJA,1.934,1.902,3.836,"0,98"
JAWA TIMUR,KABUPATEN BLITAR,WONOTIRTO,DESA,3505082006,WONOTIRTO,06/12/2018,PENDUDUK USIA 18 - 56 TAHUN,1.766,1.787,3.553,"1,01"
JAWA TIMUR,KABUPATEN BLITAR,WONOTIRTO,DESA,3505082006,WONOTIRTO,06/12/2018,PENDUDUK USIA 18 - 56 TAHUN YANG BELUM ATAU TIDAK BEKERJA,93,85,178,"0,91"
JAWA TIMUR,KABUPATEN BLITAR,PANGGUNGREJO,DESA,3505132001,SERANG,21/12/2020,PENDUDUK USIA 18 - 56 TAHUN,1.239,1.223,2.462,"0,99"
JAWA TIMUR,KABUPATEN BLITAR,PANGGUNGREJO,DESA,3505132001,SERANG,21/12/2020,PENDUDUK USIA 18 - 56 TAHUN YANG BELUM ATAU TIDAK BEKERJA,30,31,61,"1,03"
JAWA TIMUR,KABUPATEN BLITAR,PANGGUNGREJO,DESA,3505132001,SERANG,21/12/2020,PENDUDUK MASIH SEKOLAH 7 - 18 TAHUN,351,342,693,"0,97"
